,titles,images,ratings,prices
43,"UMIDIGI G3 MAX 8+128GB Android 13 Unlocked Cell Phone,50MP Ultra-Clear AI Camera Smartphone,6.6-inch FHD Display Android Phone,5150mAh Massive Battery Mobile Phone Support Expandable Up to 1TB…",https://m.media-amazon.com/images/I/81C7INo0uoL._AC_UY218_.jpg,3.6 out of 5 stars,$99.99
44,"12'' Ring Light with 62'' Extendable Tripod Stand, Selfie Ring Light with Stand and 2 Phone Holder for Live Stream/Makeup/YouTube/TikTok, Compatible with All Phones, Ipads and Cameras",https://m.media-amazon.com/images/I/614cim8XB4L._AC_UY218_.jpg,5.0 out of 5 stars,$36.99
45,"Blackview Phone BV5200, Rugged Phone 7(4+3) GB+32GB 1TB Expand, 6.1'' Incell 13MP Camera Smartphones, 5180mAh Rugged Smartphone, 3 Card Slots, IP69K, Face ID, Glove Mode, NFC/OTG/4G LTE+5G WiFi-Green",https://m.media-amazon.com/images/I/71m+ar2qqtL._AC_UY218_.jpg,4.2 out of 5 stars,$128.20
46,"Unlocked Android Phones A24 Ultra Cell Phone 2024 Android 13 Mobile Phone with Build-in Pen, 12GB+512GB, 6.8"" Display, 50MP+24MP Camera 6500 mAh 4G Dual SIM(Purple)",https://m.media-amazon.com/images/I/61ywEJ4RYxL._AC_UY218_.jpg,2.3 out of 5 stars,$189.99
47,"Total by Verizon Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",https://m.media-amazon.com/images/I/812woqv69CL._AC_UY218_.jpg,3.9 out of 5 stars,$49.88
48,"Samsung Galaxy A12 (32GB, 3GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Global 4G Volte (AT&T Unlocked for T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",https://m.media-amazon.com/images/I/81t8kQP6OQL._AC_UY218_.jpg,3.8 out of 5 stars,$89.00
49,"Samsung Galaxy S20 FE 5G (128GB, 6GB) 6.5"" AMOLED, Snapdragon 865, IP68 Water Resistant, 5G Volte Fully Unlocked (T-Mobile, Verizon, Sprint, AT&T) G781U (Cloud Navy)(Renewed)",https://m.media-amazon.com/images/I/61WeLSi+UiL._AC_UY218_.jpg,3.9 out of 5 stars,$179.00
50,Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,https://m.media-amazon.com/images/I/61xk4XNRktL._AC_UY218_.jpg,3.9 out of 5 stars,$129.99
51,Motorola Edge | 2023 | Unlocked | Made for US 8/256GB | 50MP Camera | Eclipse Black,https://m.media-amazon.com/images/I/61w-1c1nOzL._AC_UY218_.jpg,4.2 out of 5 stars,$349.99
52,"Xiaomi Redmi Note 13 PRO 5G + 4G LTE (256GB + 8GB) 6.67"" 200MP Triple (Tmobile Mint Tello & Global) Global Bands Unlocked + (Fast Car Dual Charger Bundle) (Midnight Black (Global ROM))",https://m.media-amazon.com/images/I/71ZjanVe7oL._AC_UY218_.jpg,4.5 out of 5 stars,$294.99
53,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB",https://m.media-amazon.com/images/I/71n1Bn04lJL._AC_UY218_.jpg,4.1 out of 5 stars,$499.00
